Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42.0,1,1,1118.0,Sales,5.66,2,Life Sciences,2,0,100.0,3,2,Sales Executive,4,Single,6390.6,20765.94,8,1,11,1,0,7.43,0,1,11.42,6.0,2.5,7.23
54.0,0,2,356.0,Research & Development,10.32,1,Life Sciences,3,1,65.0,2,2,Research Scientist,2,Married,6390.6,24915.26,1,0,23,4,1,9.56,3,3,11.42,9.0,2.5,7.23
42.0,1,1,1499.0,Research & Development,5.66,2,Other,4,1,100.0,2,1,Laboratory Technician,3,Single,4161.8,4168.66,6,1,15,2,0,7.43,3,3,5.71,3.0,2.5,2.41
36.0,0,2,1499.0,Research & Development,5.66,4,Life Sciences,4,0,56.25,3,1,Research Scientist,3,Married,4161.8,24915.26,1,1,11,3,0,7.43,3,3,11.42,9.0,5.0,2.41
30.0,0,1,610.0,Research & Development,5.66,1,Medical,1,1,47.5,3,1,Laboratory Technician,2,Married,4161.8,18691.28,9,0,12,4,1,7.43,3,3,5.71,3.0,2.5,2.41
36.0,0,2,1118.0,Research & Development,5.66,2,Life Sciences,4,1,82.5,3,1,Laboratory Technician,4,Single,4161.8,12467.3,0,0,13,3,0,7.43,2,2,11.42,9.0,5.0,7.23
60.0,0,1,1372.0,Research & Development,5.66,3,Medical,3,0,82.5,4,1,Laboratory Technician,1,Married,6390.6,10392.64,4,1,20,1,1.0,11.27,3,2,5.71,3.0,2.5,2.41
36.0,0,1,1372.0,Research & Development,24.3,1,Life Sciences,4,1,73.75,3,1,Laboratory Technician,3,Divorced,4161.8,14541.96,1,0,22,2,1,2.13,2,3,5.71,3.0,2.5,2.41
42.0,0,2,229.0,Research & Development,24.3,3,Life Sciences,3.0,1,47.5,2,3,Manufacturing Director,3,Single,10848.2,10392.64,0,0,21,2,0,9.56,2,3,11.42,9.0,2.5,9.64
42.0,0,1,1372.0,Research & Development,28.96,3,Medical,3,1,100.0,3,2,Healthcare Representative,3,Married,6390.6,16616.62,6,0,13,2,2,16.82,3,2,11.42,9.0,7.5,7.23
36.0,0,1,864.0,Research & Development,19.64,3,Medical,1,1,91.25,4,1,Laboratory Technician,2,Married,4161.8,16616.62,0,0,13,3,1,7.43,5,3,5.71,6.0,2.5,4.82
30.0,0,1,229.0,Research & Development,19.64,2,Life Sciences,4,0,56.25,2,2,Laboratory Technician,3,Single,4161.8,14541.96,0,1,12,4,0,9.56,3,3,11.42,6.0,2.5,9.64
36.0,0,1,737.0,Research & Development,28.96,1,Life Sciences,1,1,38.75,3,1,Research Scientist,3,Divorced,4161.8,16616.62,1,0,17,4,1,5.4,1,2,5.71,3.0,5.0,4.82
36.0,0,1,1372.0,Research & Development,19.64,2,Medical,2,1,100.0,3,1,Laboratory Technician,4,Divorced,4161.8,10392.64,0,0,11,3,1,2.13,2,3,5.71,3.0,2.5,2.41
30.0,1,1,229.0,Research & Development,24.3,3,Life Sciences,3,1,56.25,2,1,Laboratory Technician,3,Single,6390.6,14541.96,5,1,14,2,0,7.43,4,3,5.71,3.0,2.5,4.82
30.0,0,1,1499.0,Research & Development,24.3,4,Life Sciences,2,0,56.25,4,3,Manufacturing Director,1,Divorced,10848.2,10392.64,1,0,11,3,1,9.56,1,3,11.42,12.0,10.0,9.64
36.0,0,1,356.0,Research & Development,5.66,2,Life Sciences,1,1,82.5,4,1,Research Scientist,2,Divorced,4161.8,16616.62,0,1,12,4,2,7.43,5,2,11.42,3.0,2.5,7.23
24.0,0,0,1245.0,Research & Development,19.64,2,Medical,4,1,100.0,4,1,Laboratory Technician,4,Divorced,4161.8,8317.98,1,1,13,2,2,2.13,2,2,5.71,3.0,2.5,2.41
54.0,0,1,1245.0,Sales,5.66,4,Life Sciences,3.0,0,82.5,2,4,Manager,4,Married,13077.0,22840.6,2,0,16,3,0,26.3,3,3,28.55,9.0,5.0,7.23
42.0,0,1,483.0,Research & Development,5.66,3,Life Sciences,4,1,47.5,3,1,Research Scientist,4,Single,4161.8,6243.32,5,1,11,3,0,5.4,3,3,5.71,3.0,2.5,2.41
30.0,0,0,737.0,Research & Development,14.98,2,Other,1,0,100.0,4,2,Manufacturing Director,3,Divorced,6390.6,8317.98,0,0,18,4,1,5.4,5,2,5.71,3.0,2.5,4.82
42.0,1,1,1245.0,Sales,10.32,4,Life Sciences,3,1,82.5,2,1,Sales Representative,1,Single,4161.8,8317.98,7,0,23,2,0,9.56,4,3,5.71,6.0,2.5,4.82
36.0,0,1,483.0,Research & Development,10.32,4,Life Sciences,1,0,56.25,3,3,Research Director,2,Single,13077.0,22840.6,0,0,11,3,0,11.27,4,3,17.13,9.0,2.5,12.05
24.0,0,1,483.0,Research & Development,19.64,2,Life Sciences,3,1,100.0,3,1,Research Scientist,4,Single,4161.8,20765.94,1,0,14,4,0,2.13,6,3,5.71,3.0,2.5,2.41
36.0,1,1,737.0,Research & Development,10.32,1,Medical,2,1,91.25,3,1,Research Scientist,1,Single,4161.8,18691.28,2,0,11,3,0,7.43,2,3,5.71,3.0,2.5,4.82
