epsilon, minimum points, n_cluster, intra-clusters distance, inter-clusters mean distance
1, 1, 49, 102919, 111.14285714285714
2, 1, 3, 4598191, 3.3333333333333335
3, 1, 1, 9642616, 0.0
1, 2, 26, 100096, 53.07692307692308
2, 2, 1, 4598188, 0.0
3, 2, 1, 9642616, 0.0
1, 3, 22, 20356, 42.63636363636363
2, 3, 1, 4525060, 0.0
3, 3, 1, 9642616, 0.0
1, 4, 21, 1703, 37.666666666666664
2, 4, 1, 4297687, 0.0
3, 4, 1, 9642616, 0.0
1, 5, 14, 1249, 24.071428571428573
2, 5, 1, 4165357, 0.0
3, 5, 1, 9642616, 0.0
